updated,headline,location,news_class,company_name,company_symbol,date_modified,date_created
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_NSE_PURCHASE_09022021_CHIMA.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-02-17T10:01:07Z,2021-02-17T10:01:07Z
2021-09-25T06:08:44Z,EKOCORP PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/57_GEOFF_OHEN_SHARE_PURCHASE.pdf,Directors Dealings,EKOCORP PLC.,EKOCORP,2021-02-16T15:45:07Z,2021-02-16T15:45:07Z
2021-09-25T06:08:44Z,LIVINGTRUST MORTGAGE BANK PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/205_Dealing_Notification_FEB.pdf,Directors Dealings,LIVINGTRUST MORTGAGE BANK PLC,LIVINGTRUST,2021-02-16T10:59:04Z,2021-02-16T10:59:04Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notice_of_Share_Dealing_by_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-02-11T14:56:04Z,2021-02-11T14:56:04Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notice_of_Share_Dealing_By_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-02-10T16:50:03Z,2021-02-10T16:50:03Z
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_SALE_08022021_IJEOMA.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-02-10T12:54:07Z,2021-02-10T12:54:07Z
2021-09-25T06:08:44Z,UNITED BANK FOR AFRICA PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/175_Notification_of_Insider_Dealing_-_Dr._Kayode_Fasola.pdf,Directors Dealings,UNITED BANK FOR AFRICA PLC,UBA,2021-02-09T18:39:05Z,2021-02-09T18:39:05Z
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_SALES_OF_SHARES_FEB52021_IJEOMA.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-02-08T14:36:09Z,2021-02-08T14:36:09Z
2021-09-25T06:08:44Z,ELLAH LAKES PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/58_Ellah_Lakes_Plc_-_Share_Dealing_Notification_(CBO_Capital).pdf,Directors Dealings,ELLAH LAKES PLC.,ELLAHLAKES,2021-02-04T15:52:03Z,2021-02-04T15:52:03Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notification_of_Share_Dealing_by_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-02-04T12:30:05Z,2021-02-04T12:30:05Z
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_PURCHASE_ORDER_02122020.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-02-03T14:51:05Z,2021-02-03T14:51:05Z
2021-09-25T06:08:44Z,MCNICHOLS CONSOLIDATED PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/106_MCPLC_SHARE_SALE_03022021.pdf,Directors Dealings,MCNICHOLS CONSOLIDATED PLC,MCNICHOLS,2021-02-03T14:42:05Z,2021-02-03T14:42:05Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notification_of_Share_Dealing_by_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-02-02T11:38:05Z,2021-02-02T11:38:05Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notification_of_Share_Dealing_by_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-01-29T15:50:06Z,2021-01-29T15:50:06Z
2021-09-25T06:08:44Z,CUTIX PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/48_Cutix_Plc_-_Notice_of_Insider_Dealing_by_an_Insider.pdf,Directors Dealings,CUTIX PLC.,CUTIX,2021-01-28T15:29:03Z,2021-01-28T15:29:03Z
2021-09-25T06:08:44Z,AIICO INSURANCE PLC. DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/15_DF_Holdings_-_Notification_of_Share_Dealing_by_Insider_-_2.pdf,Directors Dealings,AIICO INSURANCE PLC.,AIICO,2021-01-27T16:41:04Z,2021-01-27T16:41:04Z
2021-09-25T06:08:44Z,THE INITIATES PLC DIRECTORS DEALINGS,https://doclib.ngxgroup.com/Financial_NewsDocs/207_Appendix-Directors_Dealing_25012021.pdf,Directors Dealings,THE INITIATES PLC,INITSPLC,2021-01-25T09:55:05Z,2021-01-25T09:55:05Z
